,Immoweb ID,Property type,property sub-type,Price,Eur/m2,Extra,Post code,Construction year,Building condition,Living area,Kitchen type,Bedrooms,Terrace surface,Energy class,Double glazing,url address,Swimming pool,Garden surface,Garden,Surface of the plot,Municipality,Region
10973,9682271,2,MANSION,675000,3590.425531914894,,8370,0,4,188,4.0,6.0,,4.0,,https://www.immoweb.be/en/classified/mansion/for-sale/blankenberge/8370/9682271?searchId=61ff65db8f608,,,0.0,0.003255219546473857,blankenberge,West Flanders Province
10974,9719038,2,MANSION,675000,1534.090909090909,,6000,0,3,440,,6.0,,5.0,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/charleroi/6000/9719038?searchId=61ff65db8f608,,270.0,1.0,0.02097808152172041,charleroi,Hainaut Province
10976,9578564,2,MANSION,100000,416.6666666666667,,6001,0,1,240,,6.0,,4.0,,https://www.immoweb.be/en/classified/mansion/for-sale/marcinelle/6001/9578564?searchId=61ff65db8f608,,,0.0,0.012297496064456792,marcinelle,Hainaut Province
10977,9677119,2,MANSION,174900,1249.2857142857142,,5070,0,3,140,,3.0,,4.0,,https://www.immoweb.be/en/classified/mansion/for-sale/fosses-la-ville/5070/9677119?searchId=61ff65db8f608,,,0.0,0.014364302125710033,fosses-la-ville,Namur Province
10982,9698582,2,MANSION,2190000,2648.1257557436516,,1210,0,2,827,,6.0,,,,https://www.immoweb.be/en/classified/mansion/for-sale/saint-josse-ten-noode/1210/9698582?searchId=61ff65db8f608,,,0.0,0.023148227886036314,saint-josse-ten-noode,Brussels Capital Region
10985,9676922,2,MANSION,1190000,2163.6363636363635,,7000,0,4,550,,5.0,,5.0,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/mons/7000/9676922?searchId=61ff65db8f608,,,0.0,0.05105010971295509,mons,Hainaut Province
10986,9670296,2,MANSION,298000,1278.969957081545,,9200,0,1,233,,4.0,,,,https://www.immoweb.be/en/classified/mansion/for-sale/dendermonde/9200/9670296?searchId=61ff65db8f608,,,0.0,0.016379438035431945,dendermonde,East Flanders Province
10993,9685882,2,MANSION,275000,846.1538461538462,,8380,0,2,325,4.0,5.0,,5.0,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/zeebrugge/8380/9685882?searchId=61ff65db8f608,,,0.0,0.011832464700674812,zeebrugge,West Flanders Province
10995,9394712,2,MANSION,595000,1859.375,,9000,0,1,320,,4.0,,5.0,,https://www.immoweb.be/en/classified/mansion/for-sale/gent/9000/9394712?searchId=61ff65db8f608,,,0.0,,gent,East Flanders Province
10996,9663876,2,MANSION,225000,922.1311475409836,,8630,0,3,244,,5.0,,6.0,,https://www.immoweb.be/en/classified/mansion/for-sale/veurne/8630/9663876?searchId=61ff65db8f608,,,0.0,0.022476515916129012,veurne,West Flanders Province
10997,9708505,2,MANSION,170000,850.0,,7110,0,3,200,4.0,3.0,,,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/la-louviere-houdeng-goegnies/7110/9708505?searchId=61ff65db8f608,,158.0,1.0,0.013589249852740067,la-louviere-houdeng-goegnies,Hainaut Province
10998,8921801,2,MANSION,475000,524.2825607064018,,6460,0,1,906,,1.0,,,0.0,https://www.immoweb.be/en/classified/mansion/for-sale/chimay/6460/8921801?searchId=61ff65db8f608,,,0.0,0.03348225819230253,chimay,Hainaut Province
10999,9727460,2,MANSION,295000,1489.8989898989898,1.7493074526900043,8510,0,4,198,10.0,3.0,1.0,5.0,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/marke/8510/9727460?searchId=61ff65dd03848,0.0,1.0,1.0,0.01953131727884314,marke,West Flanders Province
11001,9601649,2,MANSION,480000,1066.6666666666667,,6760,0,3,450,4.0,7.0,,6.0,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/virton/6760/9601649?searchId=61ff65dd03848,,,0.0,0.02056472030946976,virton,Luxembourg Province
11007,9201133,2,MANSION,515000,1271.6049382716049,,8500,0,4,405,,4.0,,6.5,,https://www.immoweb.be/en/classified/mansion/for-sale/kortrijk/8500/9201133?searchId=61ff65dd03848,,,0.0,0.01023069000320355,kortrijk,West Flanders Province
11016,7896377,2,MANSION,635000,2760.8695652173915,,1060,0,1,230,7.0,4.0,,,2.0,https://www.immoweb.be/en/classified/mansion/for-sale/st-gilles/1060/7896377?searchId=61ff65dd03848,,56.0,1.0,0.0070271406082610234,st-gilles,Brussels Capital Region
11021,9599687,1,TRIPLEX,375000,2586.206896551724,,2800,2004,4,145,7.0,3.0,4.0,6.5,2.0,https://www.immoweb.be/en/classified/triplex/for-sale/mechelen/2800/9599687?searchId=61feb3b6d1b14,0.0,,0.0,,mechelen,Antwerp Province
11022,9686469,1,TRIPLEX,375000,2757.3529411764707,,3001,1998,4,136,4.0,3.0,8.0,7.0,2.0,https://www.immoweb.be/en/classified/triplex/for-sale/leuven-heverlee/3001/9686469?searchId=61feb3b6d1b14,,,0.0,,leuven-heverlee,Flemish Brabant Province
11023,9145921,1,TRIPLEX,520000,3636.3636363636365,,1200,1975,4,143,10.0,4.0,,4.0,,https://www.immoweb.be/en/classified/triplex/for-sale/woluwe-saint-lambert/1200/9145921?searchId=61feb3b6d1b14,0.0,,0.0,,woluwe-saint-lambert,Brussels Capital Region
11024,9656340,1,TRIPLEX,849750,3776.6666666666665,,1000,1990,3,225,4.0,3.0,10.0,6.0,2.0,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles-ville/1000/9656340?searchId=61feb3b6d1b14,,,0.0,,bruxelles-ville,Brussels Capital Region
11025,9739355,1,TRIPLEX,155000,2384.6153846153848,,4000,1899,4,65,7.0,2.0,,6.0,,https://www.immoweb.be/en/classified/triplex/for-sale/liege/4000/9739355?searchId=61feb3b6d1b14,0.0,,0.0,,liege,Liège Province
11026,9739435,1,TRIPLEX,530000,3173.6526946107783,,1050,1871,4,167,10.0,2.0,,1.5,,https://www.immoweb.be/en/classified/triplex/for-sale/ixelles/1050/9739435?searchId=61feb3b6d1b14,,,0.0,,ixelles,Brussels Capital Region
11027,9733365,1,TRIPLEX,1175000,5465.116279069767,,1050,1921,4,215,10.0,3.0,,5.0,2.0,https://www.immoweb.be/en/classified/triplex/for-sale/ixelles/1050/9733365?searchId=61feb3b6d1b14,0.0,,0.0,,ixelles,Brussels Capital Region
11028,9578678,1,TRIPLEX,255000,3187.5,,1000,1900,2,80,4.0,2.0,,1.5,2.0,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles/1000/9578678?searchId=61feb3b6d1b14,0.0,,0.0,,bruxelles,Brussels Capital Region
